FacID,Site,Call,Ch,PC,City,St,Lat,Lon,RCAMSL,HAAT,ERP,DA,AntID,Az
53716,,WQLN,27,50,ERIE,PA,420234,800355,608.3,277.6,192,DA,104030,0
59441,,WEWS-TV,15,15,CLEVELAND,OH,412226,814303,560.5,300.7,1000,ND,,
60556,,WQHS-DT,36,34,CLEVELAND,OH,412258,814206,588.9,333.8,546,DA,40362,0
61216,,WHIZ-TV,30,40,ZANESVILLE,OH,395542,815906,422.4,169,506,DA,83024,0
65681,,WTAE-TV,27,51,PITTSBURGH,PA,401649,794810,587,273,628,DA,40377,0
65749,,WJET-TV,28,24,ERIE,PA,420225,800408,634.6,304,571,DA,86989,0
68393,,WJMB-CD,17,17,BUTLER,PA,405534,795336,501.1,0,7.5,DA,20732,165
68394,,WMVH-CD,32,40,CHARLEROI,PA,400724,795345,430.4,0,4.65,DA,18179,169
68395,,WBYD-CD,30,39,PITTSBURGH,PA,402646,795750,457.1,0,12.5,ND,,
68401,,WKHU-CD,32,44,KITTANNING,PA,404718,793204,434.8,0,5.04,DA,20740,205
68409,,WWKH-CD,22,47,UNIONTOWN,PA,395117,793926,826.7,0,4.92,DA,20735,18
70491,,WVPX-TV,22,23,AKRON,OH,410353,813458,614.1,301,977,DA,87420,0
71220,,WBOY-TV,12,12,CLARKSBURG,WV,391706,801945,616.6,262,12.3,ND,,
72062,,WFMJ-TV,33,20,YOUNGSTOWN,OH,410448,803824,616,295,612,DA,105546,0
72958,,WBNX-TV,17,30,AKRON,OH,412302,814143,589.8,331.2,744,DA,71743,0
73195,,WKYC,19,17,CLEVELAND,OH,412310,814120,579.4,307.1,911,DA,85809,0
73875,,WPGH-TV,20,43,PITTSBURGH,PA,402943,800016,605.8,302.8,619,DA,45946,0
73907,,WPNT,21,42,PITTSBURGH,PA,402943,800016,618.7,314.9,645,DA,43259,0
73910,,WPXI,23,48,PITTSBURGH,PA,402748,800014,598.8,289,606,ND,,
24970,,WICU-TV,12,12,ERIE,PA,420350,800020,650,306.7,5.4,ND,,
